query (Name + Affiliation)	Author	Documents	h.index	Affiliation	City	Country.Territory
Peng, S C#	Peng, Changsheng	167	38	Ocean University of China	Qingdao	China
Christiani, D C#Harvard Medical School	Christiani, David C.	924	98	Harvard T.H. Chan School of Public Health	Boston	United States
Tao, L#Air Force Military Medical University	Tao, Ling	127	44	Xijing Hospital	Xi'an	China
Lovas, A#Royal Gwent Hospital	NA	NA	NA	NA	NA	NA
Yin, S J#Shanghai Jiao Tong University	Yin, Shengju	30	10	Shanghai Jiao Tong University School of Medicine	Shanghai	China
Zhang, Q F#China Medical University	Zhang, Yafei	531	69	Key Laboratory for Thin Film and Microfabrication of Ministry of Education	Shanghai	China
Mahler, D A#Queens University - Canada	NA	NA	NA	NA	NA	NA
Wada, M#Chiba University	Wada, Masako	67	9	International University of Health and Welfare Ichikawa Hospital	Ichikawa	Japan
Malerba, M#University of Eastern Piedmont Amedeo Avogadro	Malerba, Mario	154	32	UniversitÃ  degli Studi del Piemonte Orientale âAmedeo Avogadroâ, Novara	Novara	Italy
Malik, J#Charles University Prague	MalÃ­k, Jan	111	23	VÅ¡eobecnÃ¡ FakultnÃ­ Nemocnice v Praze	Prague	Czech Republic
Borghi-Silva, A#University of Illinois Chicago Hospital	Borghi-Silva, Audrey	280	31	Universidade Federal de SÃ£o Carlos	Sao Carlos	Brazil
Miyagawa, Y#Nippon Veterinary & Life Science University	Miyagawa, Yuichi	37	9	NA	NA	NA
Ishizaki, T#Justus Liebig University Giessen	NA	NA	NA	NA	NA	NA
Mrazkova, H#Charles University Prague	MrÃ¡zkovÃ¡, Hana	6	3	Charles University	Prague Praha	Czech Republic
Mulliez, T#Ghent University Hospital	Mulliez, Thomas	19	11	Universitair Ziekenhuis Brussel	Jette	Belgium
Muneuchi, J#	Muneuchi, Jun	91	12	Japan Community Healthcare Organization	Tokyo	Japan
Nakamura, M#Kobe University	Nakamura, Makoto	565	52	Graduate School of Medicine	Kobe	Japan
Ono, Y#	Ohno, Yoshiharu Md Phd	325	56	Fujita Health University School of Medicine	Toyoake	Japan
Hakozaki, Y#	Hakozaki, Yuikiya	63	14	Le Quy Don Technical University	Hanoi	Viet Nam
Bikov, A#Semmelweis University	Bikov, Andras	140	26	Manchester University NHS Foundation Trust	Manchester	United Kingdom
Pariante, C M#King's College London	Pariante, Carmine M.	521	101	King's College London	London	United Kingdom
Paul, J#Ulm University	Finn, John Paul	302	54	David Geffen School of Medicine at UCLA	Los Angeles	United States
Perdreau, E#CHU Bordeaux	Perdreau, Elodie	9	6	Centre de Recherche Cardio-Thoracique de Bordeaux	Pessac	France
Perez, C M#United States Environmental Protection Agency	Perez, Christina M.	7	6	College of the Mainland	Texas City	United States
Petersen, P M#University of Copenhagen	Petersen, Peter Meidahl	76	32	Rigshospitalet	Copenhagen	Denmark
Ruhrberg, C#University College London	Ruhrberg, Christiana	121	49	UCL Institute of Ophthalmology	London	United Kingdom
Pleister, A#University of Naples Federico II	NA	NA	NA	NA	NA	NA
Tang, Y J#Hubei University of Medicine	Tang, Yijun	33	13	Hubei University of Medicine	Shiyan	China
Vieillard-Baron, A#Hopital Universitaire Paul-Brousse - APHP	Vieillard-Baron, Antoine	361	70	Centre de Recherche en ÃpidÃ©miologie et SantÃ© des Populations	Villejuif	France
Nakayama, K#Kobe Pharmaceutical University	Nakayama, Keiichi I.	471	98	Kyushu University	Fukuoka	Japan
Gasior, Z T#Medical University Silesia	Gasior, Zbigniew T.	290	24	Slaski Uniwersytet Medyczny w Katowicach	Katowice	Poland
Sánchez-Quintana, D#University of Southern California	SÃ¡nchez-Quintana, DamiÃ¡n	178	44	Universidad de Extremadura	Badajoz	Spain
Sardu, C#	Sardu, Celestino	159	41	UniversitÃ  degli Studi della Campania Luigi Vanvitelli	Naples	Italy
Nei, T#Nippon Medical School	Nei, Tokio	45	11	Health Sciences University of Hokkaido	Ishikari District	Japan
Schillaci, G#University of Perugia	Schillaci, Giuseppe	313	68	UniversitÃ  degli Studi di Perugia	Perugia	Italy
Schultz, H D#Universidad Autonoma de Chile	Schultz, H. D.	150	48	University of Nebraska Medical Center	Omaha	United States
Schumann, R#Brigham & Women's Hospital	Schumann, Roman	125	31	VA Boston Healthcare System	West Roxbury	United States
Scollan, K F#Oregon State University	Scollan, Katherine F.	36	12	Oregon State University	Corvallis	United States
Sedivy, V#Charles University Prague	Å edivÃ½, Vojtech	3	3	Charles University	Prague Praha	Czech Republic
Seyahi, E#Istanbul University	Seyahi, Emire	141	41	BehÃ§et's Disease Research Center	Istanbul	Turkey
Siedlecka, J#Medical University Lodz	NA	NA	NA	NA	NA	NA
Xia, Y F#Chinese People's Liberation Army General Hospital	Xia, Yunfeng	18	6	General Hospital of People's Liberation Army	Beijing	China
Akuzawa, N#Gunma University	Akuzawa, Nobuhiro	19	10	Gunma Chuo Hospital	Chuo	Japan
Tamai, K#Kobe City Medical Center General Hospital	Tamai, Koji	13	9	Kobe City Medical Center General Hospital	Kobe	Japan
Tobis, J M#Loma Linda University	NA	NA	NA	NA	NA	NA
Shiraishi, H#Kyoto Prefectural University of Medicine	Shiraishi, Hirokazu	78	11	Graduate School of Medical Science	Kyoto	Japan
Tsutsui, M#Tohoku University	Tsutsui, Masato	154	39	Graduate School of Medicine	Nishihara	Japan
Ursic, T#University Medical Centre Ljubljana	UrÅ¡iÄ, Tina	25	11	Univerza v Ljubljani Medicinska Fakulteta	Ljubljana	Slovenia
Gheorghiade, M#Feinberg School of Medicine	Gheorghiade, Mihai M.	780	129	Northwestern University Feinberg School of Medicine	Chicago	United States
Coppes, R P#University of Groningen	Coppes, Rob P.	145	47	Universitair Medisch Centrum Groningen	Groningen	Netherlands
Limonard, G J M#Diakonessenhuis	Limonard, Gijs J.M.	22	10	Diakonessenhuis Utrecht	Utrecht	Netherlands
Lin, L#	Wang, Zhong Lin	2675	276	Chinese Academy of Sciences	Beijing	China
Lin, W W#National Tsing Hua University	Wang, Zhong Lin	2679	277	Chinese Academy of Sciences	Beijing	China
Williams, T M#Texas A&M University System	Williams, Terrie M.	151	52	University of California, Santa Cruz	Santa Cruz	United States
Wray, C#University of Chicago Medical Center	Wray, Charlie M.	65	14	UCSF School of Medicine	San Francisco	United States
Yoshii, Y#Jikei University	Yoshii, Yutaka	30	12	The Jikei University School of Medicine	Tokyo	Japan
Liu, G W#Chongqing Medical University	Liu, Guangwei	21	8	The First Affiliated Hospital of Chongqing Medical University	Chongqing	China
Zhao, Y T#University of Pittsburgh	NA	NA	NA	NA	NA	NA
Kan, H#West Virginia University	Kan, Hong	32	15	West Virginia University	Morgantown	United States
Wang, H L#Zhengzhou University	Wang, Hailong	211	36	Zhengzhou University	Zhengzhou	China
Flachskampf, F A#Uppsala University Hospital	Flachskampf, F. A.	344	64	Uppsala Universitet	Uppsala	Sweden
Smith, B C F#Imperial College London	NA	NA	NA	NA	NA	NA
Nielsen, K G#Rigshospitalet	Gjerum Nielsen, Kim Gjerum	171	47	Det Sundhedsvidenskabelige Fakultet	Copenhagen	Denmark
Winklewski, P J#Medical University of Warsaw	Winklewski, Pawel Jan	90	16	Gdanski Uniwersytet Medyczny	GdaÅsk	Poland
Finsterer, J#National Institute of Mental Health & Neurosciences - India	NA	NA	NA	NA	NA	NA
De Lazzari, C#Istituto di Scienze e Tecnologie della Cognizione	NA	NA	NA	NA	NA	NA
Himbert, D#Hopital Universitaire Bichat-Claude Bernard - APHP	Himbert, Dominique L.	334	60	UniversitÃ© Paris CitÃ©	Paris	France
Tajik, A J#	Tajik, Abdul Jamil	596	135	Aurora St. Luke's Medical Center	Milwaukee	United States
Maron, B J#Minneapolis Heart Institute Foundation	Maron, Barry J.	890	163	Lahey Hospital & Medical Center	Burlington	United States
Oelsner, E C#Johns Hopkins University	NA	NA	NA	NA	NA	NA
Finsterer, J#Sorbonne Universite	NA	NA	NA	NA	NA	NA
Gatzoulis, M A#IRCCS Azienda Ospedaliero-Universitaria di Bologna	NA	NA	NA	NA	NA	NA
Humbert, M#University of Sydney	Humbert, Marc	1254	151	Le Kremlin-BicÃªtre	Paris	France
Walkey, A J#Boston University	Walkey, Allan J.	263	41	Boston University Chobanian & Avedisian School of Medicine	Boston	United States
Vogel-Claussen, J#Hannover Medical School	Vogel-Claussen, J.	209	37	Hannover Medical School	Hannover	Germany
Souza, R#Universidade de Sao Paulo	Santos, R. A.S.	440	79	Universidade Federal de Minas Gerais	Belo Horizonte	Brazil
Maron, B A#Harvard Medical School	Maron, Bradley A.	199	41	University of Maryland	Bethesda	United States
Mentz, R J#University of Michigan	NA	NA	NA	NA	NA	NA
Perez-Vizcaino, F#University of Granada	NA	NA	NA	NA	NA	NA
Abdulla, R I#Rush University	Abdulla, Ra Id M.	89	12	Lurie Children's Hospital of Chicago	Chicago	United States
Schuliga, M#University of Melbourne	Schuliga, Michael J.	49	26	University of Newcastle, College of Health, Medicine and Wellbeing	Callaghan	Australia
Khairy, P#Universite de Montreal	Khairy Dr, Paul	487	75	Institut de Cardiologie de Montreal	Montreal	Canada
Azeka, E#	Azeka, Estela	69	16	Universidade de SÃ£o Paulo	Sao Paulo	Brazil
Day, T A#University of Alberta	Day, Trevor A.	87	20	Mount Royal University	Calgary	Canada
Silva, S#Institut National de la Sante et de la Recherche Medicale	Silva-Cunha, A.	138	27	Universidade Federal de Minas Gerais	Belo Horizonte	Brazil
Bonilla, F A#Boston Children's Hospital	Bonilla, Francisco A.	116	45	Northeast Allergy	Leominster	United States
Greci, V#University of Milan	Greci, Valentina	12	7	Veterinary Hospital Gregorio VII	Rome	Italy
Boussuges, A#Assistance Publique-Hopitaux de Marseille	Boussuges, Alain H.	156	27	Aix Marseille UniversitÃ©	Marseille	France
Gosens, R#University of Groningen	Gosens, Reinoud	187	50	Universitair Medisch Centrum Groningen	Groningen	Netherlands
Chatterjee, S#University of Pennsylvania	Chatterjee, Subhasis	118	17	Baylor College of Medicine	Houston	United States
Cheifetz, I M#Duke University	NA	NA	NA	NA	NA	NA
Bhattacharyya, P K#Rutgers Biomedical & Health Sciences	NA	NA	NA	NA	NA	NA
Wang, R Y#China Medical University Hospital - Taiwan	NA	NA	NA	NA	NA	NA
Kao, C H#China Medical University Hospital - Taiwan	Kao, Chiahung	1107	56	China Medical University	Taichung	Taiwan
Aceti, A#IRCCS Azienda Ospedaliero-Universitaria di Bologna	Aceti, Arianna	93	25	Alma Mater Studiorum UniversitÃ  di Bologna	Bologna	Italy
Delgado-Corcoran, C#University of Utah	Delgado-Corcoran, Claudia	20	10	University of Utah School of Medicine	Salt Lake City	United States
Asirvatham, S J#Mayo Clinic	Asirvatham, Samuel J.	733	58	Mayo Clinic	Rochester	United States
Duijts, L#Ghent University Hospital	NA	NA	NA	NA	NA	NA
Garg, G#	Garg, Sunir J.	257	35	Thomas Jefferson University	Philadelphia	United States
Gei, A#Caja del Seguro Social	NA	NA	NA	NA	NA	NA
Gorenflo, M#German Heart Centre Munich	Gorenflo, Matthias	152	26	UniversitÃ¤tsklinikum Heidelberg	Heidelberg	Germany
Grünig, E#Munchen Klinik	NA	NA	NA	NA	NA	NA
Rutten, F H#University of Wurzburg	Rutten, Frans Hendrik	312	47	University Medical Center Utrecht	Utrecht	Netherlands
Smith, D A#Icahn School of Medicine at Mount Sinai	Smith, George D.	3754	240	University of Bristol	Bristol	United Kingdom
Gupta, P#University of Michigan	Gupta, Paluru Subramanyam Parameswara	95	20	ICAR - National Institute of Animal Nutrition and Physiology, Bengaluru	Bengaluru	India
Klugman, D#Children's National Health System	Klugman, Darren	53	17	John Hopkins Medical Center	Baltimore	United States
Hayes, D#Nationwide Childrens Hospital	Hayes, D. H.	406	44	The Ohio State University College of Medicine	Columbus	United States
Hoeper, M M#University of Cologne	Hoeper, Marius M.	510	98	Hannover Medical School	Hannover	Germany
McFadden, P M#University of Southern California	McFadden, Paul Michael	81	19	Keck School of Medicine of USC	Los Angeles	United States
Ikeda, E#Yamaguchi University	Ikeda, Eiji	161	44	Yamaguchi University Graduate School of Medicine	Ube	Japan
Yamashita, K#Rakuno Gakuen University	Yamashita, Kazuto	96	24	Rakuno Gakuen University	Ebetsu	Japan
Jacobs, J P#Johns Hopkins University	Jacobs, Prof David R.	1265	158	School of Public Health	Minneapolis	United States
Massin, M M#Universite Libre de Bruxelles	Massin, Martial M.	115	23	Hospital Universitaire des Enfants Reine Fabiola	Brussels	Belgium
Kim, S C#University of Bonn	Kim, Se-chan	35	13	UniversitÃ¤tsklinikum Bonn	Bonn	Germany
Klok, F A#	Klok, F. A.	424	60	Leids Universitair Medisch Centrum	Leiden	Netherlands
Blough, E R#Marshall University	Blough, Eric R.	114	29	Marshall University	Huntingdon	United States
Rottier, R J#Erasmus MC	Rottier, Robbert J.	106	34	Erasmus MC Sophia Childrenâs Hospital	Rotterdam	Netherlands
Kovacs, G#University of Cologne	Kovacs, Gabor	5	5	UniversitÃ¤t Ulm	Ulm	Germany
Kovacs, G#Ludwig Boltzmann Institute	KovÃ¡cs, Gabor G.	176	42	Medizinische UniversitÃ¤t Graz	Graz	Austria
Krishnan, A#University of Pittsburgh	Krishnan, Jerry A.	317	63	University of Illinois at Chicago	Chicago	United States
La Perle, K M D#Ohio State University	la Perle, Krista Marie Du Bray	97	33	College of Veterinary Medicine	Columbus	United States
Lala, A#Harvard Medical School	NA	NA	NA	NA	NA	NA
Lee, M L#Changhua Christian Hospital	Lee, Mengluen	95	13	Changhua Christian Hospital	Changhua	Taiwan
Leibovici, L#Technion Israel Institute of Technology	Leibovici, Leonard	515	77	Rabin Medical Center Israel	Petah Tiqwa	Israel
Chen, T H#Chang Gung University	Chen, Tony Hsiu Hsi	428	65	National Taiwan University	Taipei	Taiwan
Margiotta, G#University of Perugia	Margiotta, Gabriele	21	6	Ospedale Regionale âS. Salvatoreâ	L'Aquila	Italy
Maron, B A#VA Boston Healthcare System	Maron, Bradley A.	199	41	University of Maryland	Bethesda	United States
Matoba, S#Kyoto Prefectural University of Medicine	Matoba, Satoaki	322	42	Graduate School of Medical Science	Kyoto	Japan
Tuttle, A D#University of Connecticut	Tuttle, Allison D.	35	10	Mystic Aquarium and Institute for Exploration	Mystic	United States
Mohamed, M S A#University of Duisburg Essen	Mohamed, Mohamed Shehata Ali	25	4	MSAM For Medical Consultations	NeumÃ¼nster	Germany
Pretto, E A#University of Miami	Pretto, Ernesto A.	81	24	University of Miami Leonard M. Miller School of Medicine	Miami	United States
Newman, J H#Vanderbilt University	Newman, John H.	217	56	Vanderbilt University Medical Center	Nashville	United States
Everett, A D#University of Colorado Anschutz Medical Campus	NA	NA	NA	NA	NA	NA
Hruda, J#Academic Medical Center Amsterdam	Hruda, Jaroslav	83	17	Vrije Universiteit Amsterdam	Amsterdam	Netherlands
Griffiths, M J D#Royal Brompton & Harefield NHS Foundation Trust	Griffiths, Mark J.D.	133	41	Barts and The London School of Medicine and Dentistry	London	United Kingdom
Cetta, F#Mayo Clinic	Cetta, Frank	223	43	Mayo Clinic	Rochester	United States
Rasmussen, J T#University of Minnesota Twin Cities	Rasmussen, Jason T.	1	1	University of Minnesota Twin Cities	Minneapolis	United States
Gupte, S A#Juntendo University	Gupte, Sachin A.	101	35	New York Medical College	Valhalla	United States
Repplinger, D#University of Nevada Las Vegas	NA	NA	NA	NA	NA	NA
Rich, J D#Feinberg School of Medicine	Rich, Jonathan David	86	28	Northwestern University Feinberg School of Medicine	Chicago	United States
Rubin, E#Jefferson University	Rubin, Emanuel	264	58	Thomas Jefferson University	Philadelphia	United States
Salomon, O#Chaim Sheba Medical Center	Salomon, Ophira	89	32	Tel Aviv University	Tel Aviv-Yafo	Israel
Opotowsky, A R#Boston Children's Hospital	NA	NA	NA	NA	NA	NA
Edwards, B S#St Anne's University Hospital Brno	NA	NA	NA	NA	NA	NA
Schroeder, S A#University of California San Francisco	Steven A. Schroeder, Steven A.	223	47	UCSF School of Medicine	San Francisco	United States
Slottosch, I#Hannover Medical School	NA	NA	NA	NA	NA	NA
Guidot, D M#Atlanta VA Health Care System	NA	NA	NA	NA	NA	NA
Rivero-Ayerza, M#East Limburg Hospital	Rivero-Ayerza, MÃ¡ximo J.	55	19	Ziekenhuis Oost-Limburg	Genk	Belgium
Karakurt, Z#Istanbul Sureyyapasa Chest Diseases & Thoracic Surgery Training & Research Hospital	Karakurt, ZÃ¼hal	92	15	University of Health Sciences	Istanbul	Turkey
Stenmark, K R#University of Colorado Anschutz Medical Campus	Stenmark, Kurt R.	379	73	University of Colorado Anschutz Medical Campus	Aurora	United States
Teo, K K#University of Alberta	Teo, Koonkang	545	113	Hamilton Health Sciences	Hamilton	Canada
Tsitsikas, D A#	Tsitsikas, Dimitris A.	46	15	Homerton University Hospital NHS Foundation Trust	London	United Kingdom
Krishnan, A#Children's National Health System	Krishnan, Jerry A.	317	63	University of Illinois at Chicago	Chicago	United States
Wang, T S#Medical College of Wisconsin	Wang, Tracy S.	170	37	Medical College of Wisconsin	Milwaukee	United States
Xie, Z T#Jiangnan University	NA	NA	NA	NA	NA	NA
Westhoff, P G#St. Antonius Hospital Utrecht	Westhoff, Paulien G.	18	10	Radboud University Medical Center	Nijmegen	Netherlands
Xavier, G N#Universidade de Brasilia	Xavier, Glaciele Nascimento	2	2	Universidade de BrasÃ­lia	Brasilia	Brazil
Du, J#Guangzhou Medical University	Du, Xiaojiang	640	65	Stevens Institute of Technology	Hoboken	United States
Baris, S A#Kocaeli University	Argun BarÄ±Å, Serap	49	8	Kocaeli Ãniversitesi	Izmir	Turkey
Sun, Y C#Capital Medical University	Sun, Yongchang	135	22	Peking University Third Hospital	Beijing	China
Davenport, A P#University of Cambridge	Davenport, Anthony P.	312	76	Royal Infirmary of Edinburgh	Edinburgh	United Kingdom
Roberts, J A#University of Queensland	Roberts, Jason A.	591	83	The University of Queensland	Brisbane	Australia
Gupta, S#Peking University	Gupta, Saurabh	10	9	Private Practice	San Diego	United States
Kelbaek, H#Rigshospitalet	KelbÃ¦k, Henning S.	360	59	Roskilde Sygehus	Roskilde	Denmark
Nkomo, V T#Mayo Clinic	Nkomo, Vuyisile T.	233	46	Mayo Clinic Alix School of Medicine	Rochester	United States
Ripamonti, D#ASST Papa Giovanni XXIII	Ripamonti, Diego	106	29	Papa Giovanni XXIII Hospital	Bergamo	Italy
Kohsaka, A#Wakayama Medical University	Kohsaka, Akira	34	17	Wakayama Medical University	Wakayama	Japan
Barr, G#Columbia University	Barr, RGraham	442	88	Columbia University Irving Medical Center	New York	United States
Rich, J D#University of Chicago	Rich, Jonathan David	86	28	Northwestern University Feinberg School of Medicine	Chicago	United States
Delbono, O#Wake Forest University	Delbono, Osvaldo	135	45	Wake Forest University School of Medicine	Winston Salem	United States
Hong, T#Fudan University	Leung, Thomas Wai Hong	225	38	Chinese University of Hong Kong	Hong Kong	Hong Kong
Ryter, S W#Weill Cornell Medicine	Ryter, Stefan W.	199	76	Weill Cornell Medicine	New York	United States
Arias, M A#Complejo Hospitalario de Toledo	NA	NA	NA	NA	NA	NA
Violi, F#Sapienza University Rome	Violi, Francesco	708	83	Sapienza UniversitÃ  di Roma	Rome	Italy
Patton, K K#University of Washington Seattle	Patton, Kristen K.	111	39	University of Washington School of Medicine	Seattle	United States
Acikel, S#Turkey Specialized Higher Education & Research Hospital	NA	NA	NA	NA	NA	NA
Alhabshan, F#King Saud University	Alhabshan, Fahad M.	37	9	National Guard Health Affairs	Riyadh	Saudi Arabia
Anderson, R J#Takeda Development Centre Europe Ltd.	NA	NA	NA	NA	NA	NA
Pawlinski, R#University of North Carolina Chapel Hill	PawliÅski, RafaÅ X.	98	39	The University of North Carolina at Chapel Hill	Chapel Hill	United States
Biscotti, M#Columbia University	Biscotti, Mauer	27	16	Brooke Army Medical Center	Fort Sam Houston	United States
Tse, E#University of Hong Kong	Tse, Hung Fat	786	83	The University of Hong Kong Li Ka Shing Faculty of Medicine	Hong Kong	Hong Kong
Hsu, H H#National Taiwan University Hospital	Hsu, Chung Y.	511	73	China Medical University	Taichung	Taiwan
Clark, T W#Addenbrooke's Hospital	NA	NA	NA	NA	NA	NA
Sun, Z J#University of Oklahoma Health Sciences Center	Sun, Zhongjie	82	36	University of Oklahoma Health Sciences Center	Oklahoma City	United States
Shimokawa, H#Tohoku University	Shimokawa, Hiroaki	926	112	Tohoku University School of Medicine	Sendai	Japan
Qin, Y#Naval Medical University	Qin, Yongwen	303	32	Changhai Hospital	Shanghai	China
Dirican, A#Dokuz Eylul University	NA	NA	NA	NA	NA	NA
Dolmage, T E#University of Leicester	Dolmage, Thomas E.	52	23	West Park Hospital, Toronto	Toronto	Canada
Tonnessen, T#University of Oslo	TÃ¸nnessen, Tor Inge	128	31	Universitetet i Oslo	Oslo	Norway
Stewart, D J#University of Ottawa	Stewart, David J.	391	62	L'HÃ´pital d'Ottawa	Ottawa	Canada
Castro, P#Hospital Clinic de Barcelona	Castro, Pedro R.	211	35	Universitat de Barcelona	Barcelona	Spain
Gnanathasan, A#University of Colombo	Gnanathasan, Ariaranee	44	17	University of Colombo Faculty of Medicine	Colombo	Sri Lanka
Black, S M#University of California San Francisco	Black, Stephen M.	284	63	Medical College of Georgia	Augusta	United States
Dong, D L#Harbin Medical University	Dong, Deli	120	30	Harbin Medical University	Harbin	China
Korosoglou, G#Ruprecht Karls University Heidelberg	Korosoglou, Grigorios	241	40	GRN Hospital Weinheim	Weinheim	Germany
Holzhauser, L#Albert Einstein College of Medicine	Holzhauser, Luise H.	29	11	University of Pennsylvania Perelman School of Medicine	Philadelphia	United States
Xu, Y#Wuhan University	Yang, Xu	511	39	Xi'an Jiaotong University	Xi'an	China
Kozower, B D#University of Virginia	Kozower, Benjamin D.	230	42	Washington University School of Medicine in St. Louis	St. Louis	United States
Kao, C H#China Medical University Hospital - Taiwan	Kao, Chiahung	1107	56	China Medical University	Taichung	Taiwan
Chang, Y C#National Taiwan University Hospital	Chang, Chinchen Cheng	1329	70	Feng Chia University	Taichung	Taiwan
Issitt, R W#Great Ormond Street Hospital for Children NHS Foundation Trust	Issitt, Richard	38	10	Great Ormond Street Hospital for Children NHS Foundation Trust	London	United Kingdom
Syrigos, K#National & Kapodistrian University of Athens	Syrigos, Konstantinos Nikolaos	608	72	School of Medicine	Athens	Greece
Park, S H#Ewha Womans University	Park, Hwanbae Kyu	1140	128	Korea University	Seoul	South Korea
Bojic, T#University of Belgrade	BojiÄ, Tijana	38	13	Institut za Nuklearne Nauke Vinca	Belgrade	Serbia
Kargul, J#University of Geneva	Kargul, Joanna M.	81	21	Centrum Nowych Technologii Uniwersytetu Warszawskiego	Warsaw	Poland
Okumura, K#	Okumura, Koh	850	116	Juntendo University School of Medicine	Tokyo	Japan
Kharazmi, M#Uppsala University	Kharazmi, Mohammad	30	10	By email	Vasteras	Sweden
Kovindha, A#Chiang Mai University	Kovindha, Apichana	54	19	Chiang Mai University	Chiang Mai	Thailand
Kurl, S#University of Seoul	NA	NA	NA	NA	NA	NA
Damiano, R J#Washington University	Damiano, Ralph J.	424	64	Barnes-Jewish Hospital	St. Louis	United States
Linton, P J#San Diego State University	Linton, Phyllis Jean	42	27	San Diego State University	San Diego	United States
Kong, F#Shandong University	Kong, Fangong	296	36	Qilu University of Technology	Jinan	China
Rojas, S V#Hannover Medical School	Rojas, S. V.	37	14	Herz- und Diabeteszentrum Nordrhein-Westfalen UniversitÃ¤tsklinik der Ruhr-UniversitÃ¤t Bochum	Bad Oeynhausen	Germany
Mohite, P N#Royal Brompton Hospital	Mohite, Prashant Nanasaheb	136	22	Harefield Hospital	Harefield	United Kingdom
Ozaki, Y#Fujita Health University	Ozaki, Yukio	295	47	Fujita Health University Okazaki Medical Center	Okazaki	Japan
Nia, A M#University of Cologne	Nia, Amir Movahed	69	17	UniversitÃ¤tsklinikum DÃ¼sseldorf	Dusseldorf	Germany
Nicholls, J M#University of Hong Kong	Nicholls, John Malcolm	226	68	The University of Hong Kong Li Ka Shing Faculty of Medicine	Hong Kong	Hong Kong
Kadan-Lottick, N S#Yale University	Kadan-Lottick, Nina S.	98	37	Georgetown Lombardi Comprehensive Cancer Center	Washington, D.C.	United States
Giraud, R#University of Geneva	Giraud, RaphaÃ«l	96	19	HÃ´pitaux Universitaires de GenÃ¨ve	Geneva	Switzerland
Ruiz, C E#Northwell Health	Ruiz, Carlos E.	227	44	Hackensack University Medical Center	Hackensack	United States
Vogel, U#Technical University of Denmark	Vogel, Ulla Birgitte	421	73	Det Nationale Forskningscenter for ArbejdsmiljÃ¸	Copenhagen	Denmark
Iwata, O#Kurume University	Iwata, Osuke	103	21	Nagoya City University Graduate School of Medical Sciences	Nagoya	Japan
Pullamsetti, S S#University of Utah	NA	NA	NA	NA	NA	NA
Kourembanas, S#Harvard Medical School	Kourembanas, Stella	105	49	Harvard Medical School	Boston	United States
Serio, P#Azienda Ospedaliera Universitaria	NA	NA	NA	NA	NA	NA
Smadja, D M#Cincinnati Children's Hospital Medical Center	NA	NA	NA	NA	NA	NA
Taylor, D A#Texas Heart Institute	Taylor-Robinson, David	617	62	Imperial College Faculty of Medicine	London	United Kingdom
Tudor, N#University of Agronomic Science & Veterinary Medicine - Bucharest	Tudor, Niculae	8	4	Universitatea de Stiinte Agronomice si Medicina Veterinara din Bucuresti	Bucharest	Romania
Goldberger, Z D#Harborview Medical Center	Goldberger, Zachary D.	100	37	University of Wisconsin School of Medicine and Public Health	Madison	United States
Vasiliadis, I#Onassis Cardiac Surgery Center	Vasiliadis, Ioannis K.	23	10	Onassis Cardiac Surgery Centre	Athens	Greece
Denault, A#University of Melbourne	NA	NA	NA	NA	NA	NA
Gao, F B#Sichuan University	Gao, Fabao	139	23	West China School of Medicine/West China Hospital of Sichuan University	Chengdu	China
Wedgwood, S#University of California Davis	Wedgwood, Stephen	54	28	University of California, Davis	Davis	United States
Jing, Z C#Peking Union Medical College	Jing, Z. C.	246	43	Peking Union Medical College Hospital	Beijing	China
Wigfield, C H#Brigham & Women's Hospital	NA	NA	NA	NA	NA	NA
Wobeser, B K#University of Saskatchewan	Wobeser, Bruce K.	37	11	University of Saskatchewan, Western College of Veterinary Medicine	Saskatoon	Canada
Wang, H#Academy of Military Medical Sciences - China	Wang, Jianhong	1829	85	Changzhou University	Changzhou	China
Cella, L#University of Naples Federico II	Cella, Laura	83	28	Consiglio Nazionale delle Ricerche	Rome	Italy
Shigemura, N#University of Pittsburgh	Shigemura, Norihisa	147	36	Temple University Hospital	Philadelphia	United States
Yoshikawa, N#University of Tokyo	Yoshikawa, Norishige	275	51	Takatsuki General Hospital	Takatsuki	Japan
Hecht, H S#Icahn School of Medicine at Mount Sinai	Hecht, Harvey S.	165	38	Mount Sinai	New York	United States
Gong, F Q#Zhejiang University	Gong, Fangqi	79	19	The Children's Hospital Zhejiang University School of Medicine	Hangzhou	China
Finsterer, J#Hopital Universitaire Pitie-Salpetriere - APHP	NA	NA	NA	NA	NA	NA
McFadden, P M#University of Southern California	McFadden, Paul Michael	81	19	Keck School of Medicine of USC	Los Angeles	United States
Asanoi, H#University of Toyama	Asanoi, Hidetsugu	158	27	Osaka University	Suita	Japan
Hayes, D#University of Arizona	Hayes, D. H.	406	44	The Ohio State University College of Medicine	Columbus	United States
Chesler, N#University of Colorado Anschutz Medical Campus	NA	NA	NA	NA	NA	NA
Sohns, J M#University of Gottingen	Sohns, Jan Martin Sommerlath	53	19	Hannover Medical School	Hannover	Germany
Farina, F#Istituto di Tecnologie Biomediche	NA	NA	NA	NA	NA	NA
Ramos-Estebanez, C#University of Texas Southwestern Medical Center Dallas	NA	NA	NA	NA	NA	NA
Wen, F Q#Sichuan University	Wen, Fuqiang	317	41	West China School of Medicine/West China Hospital of Sichuan University	Chengdu	China
